Felicita'	1	0	0	2579.978
Guerra	0	0	0	375.569
Violenza	0	1	389.516	285.281
Odio	0	0	0	580.565
Gioia	1	1	341.78	513.696
Morte	0	1	341.579	679.026
Allegria	1	1	359.591	580.53
Amicizia	1	1	422.08	1413.94
Morte	[92.78, 0.3988, 0.5139]	0	0	0	860.562
Violenza	[92.78, 0.3988, 0.5139]	0	1	342.032	254.242
Odio	[92.78, 0.3988, 0.5139]	0	1	199.337	236.037
Genovesi	[78.74, 0.2194, 0.3487]	1	0	0	232.995
Veneziani	[78.74, 0.2194, 0.3487]	1	0	0	245.364
Allegria	[92.78, 0.3988, 0.5139]	1	1	390.309	161.121
Catanzaresi	[78.74, 0.2194, 0.3487]	0	0	0	223.104
Torinesi	[78.74, 0.2194, 0.3487]	1	0	0	125.615
Milanesi	[78.74, 0.2194, 0.3487]	1	1	310.465	184.769
Napoletani	[78.74, 0.2194, 0.3487]	0	0	0	239.383
Guerra	[92.78, 0.3988, 0.5139]	0	1	367.535	161.755
Palermitani	[78.74, 0.2194, 0.3487]	0	1	391.173	144.195
Gioia	[92.78, 0.3988, 0.5139]	1	0	0	198.457
Amicizia	[92.78, 0.3988, 0.5139]	1	0	0	271.134
Baresi	[78.74, 0.2194, 0.3487]	0	0	0	162.361
Felicita'	[92.78, 0.3988, 0.5139]	1	0	0	179.553
Palermitani	[78.74, 0.2194, 0.3487]	1	0	0	991.16
Torinesi	[78.74, 0.2194, 0.3487]	0	0	0	106.718
Amicizia	[92.78, 0.3988, 0.5139]	1	1	358.971	281.056
Gioia	[92.78, 0.3988, 0.5139]	1	1	398.007	302.95
Napoletani	[78.74, 0.2194, 0.3487]	1	1	335.107	167.595
Milanesi	[78.74, 0.2194, 0.3487]	0	0	0	152.762
Violenza	[92.78, 0.3988, 0.5139]	0	1	374.856	222.93
Veneziani	[78.74, 0.2194, 0.3487]	0	1	366.374	193.509
Genovesi	[78.74, 0.2194, 0.3487]	0	1	342.177	112.132
Baresi	[78.74, 0.2194, 0.3487]	1	0	0	168.417
Guerra	[92.78, 0.3988, 0.5139]	0	0	0	203.471
Odio	[92.78, 0.3988, 0.5139]	0	1	342.272	134.466
Felicita'	[92.78, 0.3988, 0.5139]	1	0	0	184.686
Catanzaresi	[78.74, 0.2194, 0.3487]	1	1	342.644	135.01
Morte	[92.78, 0.3988, 0.5139]	0	0	0	232.06
Allegria	[92.78, 0.3988, 0.5139]	1	0	0	102.278
