Morte	0	0	0	1199.981
Violenza	0	1	342.804	26.438
Guerra	0	0	0	366.683
Felicita'	1	0	0	668.323
Odio	0	0	0	540.122
Gioia	1	0	0	252.615
Amicizia	1	1	374.92	215.742
Allegria	1	1	230.519	204.62
Catanzaresi	[78.74, 0.2194, 0.3487]	0	0	0	128.528
Milanesi	[78.74, 0.2194, 0.3487]	1	1	246.542	98.398
Odio	[92.78, 0.3988, 0.5139]	0	0	0	86.523
Palermitani	[78.74, 0.2194, 0.3487]	0	1	158.314	94.196
Napoletani	[78.74, 0.2194, 0.3487]	0	1	158.827	105.441
Morte	[92.78, 0.3988, 0.5139]	0	1	158.801	94.095
Violenza	[92.78, 0.3988, 0.5139]	0	0	0	6.942
Baresi	[78.74, 0.2194, 0.3487]	0	0	0	14.13
Gioia	[92.78, 0.3988, 0.5139]	1	1	110.557	3.39
Amicizia	[92.78, 0.3988, 0.5139]	1	1	102.957	158.473
Torinesi	[78.74, 0.2194, 0.3487]	1	0	0	13.29
Guerra	[92.78, 0.3988, 0.5139]	0	1	174.58	14.842
Felicita'	[92.78, 0.3988, 0.5139]	1	1	79.661	13.797
Veneziani	[78.74, 0.2194, 0.3487]	1	0	0	0.361
Genovesi	[78.74, 0.2194, 0.3487]	1	1	78.039	189.336
Allegria	[92.78, 0.3988, 0.5139]	1	0	0	2.515
Palermitani	[78.74, 0.2194, 0.3487]	1	1	87.306	145.35
Catanzaresi	[78.74, 0.2194, 0.3487]	1	0	0	16.86
Baresi	[78.74, 0.2194, 0.3487]	1	0	0	21.797
Guerra	[92.78, 0.3988, 0.5139]	0	0	0	174.216
Violenza	[92.78, 0.3988, 0.5139]	0	0	0	17.241
Gioia	[92.78, 0.3988, 0.5139]	1	0	0	90.723
Veneziani	[78.74, 0.2194, 0.3487]	0	1	175.121	4.731
Genovesi	[78.74, 0.2194, 0.3487]	0	0	0	45.798
Odio	[92.78, 0.3988, 0.5139]	0	1	183.01	61.933
Felicita'	[92.78, 0.3988, 0.5139]	1	1	95.069	38.616
Amicizia	[92.78, 0.3988, 0.5139]	1	0	0	4.874
Milanesi	[78.74, 0.2194, 0.3487]	0	0	0	190.941
Allegria	[92.78, 0.3988, 0.5139]	1	1	87.588	11.483
Napoletani	[78.74, 0.2194, 0.3487]	1	0	0	1.817
Morte	[92.78, 0.3988, 0.5139]	0	0	0	189.816
Torinesi	[78.74, 0.2194, 0.3487]	0	0	0	5.085
