Guerra	0	1	174.529	22.424
Amicizia	1	1	111.191	56.141
Felicita'	1	1	94.346	142.009
Allegria	1	0	0	3.511
Odio	0	0	0	125.36
Violenza	0	1	159.886	76.477
Morte	0	1	135.508	69.026
Gioia	1	0	0	87.777
Genovesi	[78.74, 0.2194, 0.3487]	1	1	94.523	57.366
Catanzaresi	[78.74, 0.2194, 0.3487]	0	0	0	174.418
Morte	[92.78, 0.3988, 0.5139]	0	1	158.389	59.03
Napoletani	[78.74, 0.2194, 0.3487]	0	1	142.533	68.475
Violenza	[92.78, 0.3988, 0.5139]	0	1	142.055	77.368
Veneziani	[78.74, 0.2194, 0.3487]	1	0	0	79.43
Odio	[92.78, 0.3988, 0.5139]	0	0	0	134.612
Milanesi	[78.74, 0.2194, 0.3487]	1	0	0	86.963
Guerra	[92.78, 0.3988, 0.5139]	0	1	158.042	1.621
Palermitani	[78.74, 0.2194, 0.3487]	0	1	159.087	69.609
Baresi	[78.74, 0.2194, 0.3487]	0	1	166.072	85.49
Amicizia	[92.78, 0.3988, 0.5139]	1	0	0	93.169
Allegria	[92.78, 0.3988, 0.5139]	1	1	103.953	141.818
Felicita'	[92.78, 0.3988, 0.5139]	1	0	0	5.657
Torinesi	[78.74, 0.2194, 0.3487]	1	1	86.34	158.287
Gioia	[92.78, 0.3988, 0.5139]	1	1	102.133	111.327
Catanzaresi	[78.74, 0.2194, 0.3487]	1	1	69.532	59.938
Palermitani	[78.74, 0.2194, 0.3487]	1	1	79.385	118.04
Torinesi	[78.74, 0.2194, 0.3487]	0	0	0	109.014
Violenza	[92.78, 0.3988, 0.5139]	0	1	158.437	45.87
Genovesi	[78.74, 0.2194, 0.3487]	0	1	143.915	55.675
Baresi	[78.74, 0.2194, 0.3487]	1	0	0	69.62
Allegria	[92.78, 0.3988, 0.5139]	1	1	78.179	133.122
Guerra	[92.78, 0.3988, 0.5139]	0	0	0	125.805
Napoletani	[78.74, 0.2194, 0.3487]	1	0	0	61.028
Milanesi	[78.74, 0.2194, 0.3487]	0	0	0	148.833
Odio	[92.78, 0.3988, 0.5139]	0	1	167.618	54.95
Gioia	[92.78, 0.3988, 0.5139]	1	0	0	36.943
Amicizia	[92.78, 0.3988, 0.5139]	1	1	102	150.846
Felicita'	[92.78, 0.3988, 0.5139]	1	1	78.61	157.948
Veneziani	[78.74, 0.2194, 0.3487]	0	0	0	133.527
Morte	[92.78, 0.3988, 0.5139]	0	1	167.83	45.911
