Odio	0	0	0	745.387
Felicita'	1	0	0	217.72
Amicizia	1	1	140.282	37.709
Guerra	0	0	0	135.592
Morte	0	0	0	1.8
Allegria	1	0	0	94.059
Gioia	1	1	102.697	126.212
Violenza	0	0	0	133.64
Milanesi	[78.74, 0.2194, 0.3487]	1	1	102.52	137.721
Palermitani	[78.74, 0.2194, 0.3487]	0	0	0	126.779
Veneziani	[78.74, 0.2194, 0.3487]	1	0	0	71.857
Torinesi	[78.74, 0.2194, 0.3487]	1	1	93.991	133.843
Amicizia	[92.78, 0.3988, 0.5139]	1	1	118.645	158.561
Morte	[92.78, 0.3988, 0.5139]	0	0	0	80.671
Genovesi	[78.74, 0.2194, 0.3487]	1	1	79.11	68.51
Gioia	[92.78, 0.3988, 0.5139]	1	0	0	61.932
Allegria	[92.78, 0.3988, 0.5139]	1	1	70.511	16.251
Catanzaresi	[78.74, 0.2194, 0.3487]	0	1	22.699	15.215
Napoletani	[78.74, 0.2194, 0.3487]	0	1	38.151	151.472
Baresi	[78.74, 0.2194, 0.3487]	0	1	118.613	119.277
Guerra	[92.78, 0.3988, 0.5139]	0	1	166.27	23.88
Felicita'	[92.78, 0.3988, 0.5139]	1	0	0	96.261
Violenza	[92.78, 0.3988, 0.5139]	0	0	0	110.748
Odio	[92.78, 0.3988, 0.5139]	0	0	0	71.789
Milanesi	[78.74, 0.2194, 0.3487]	0	1	343.15	54.22
Odio	[92.78, 0.3988, 0.5139]	0	0	0	80.28
Allegria	[92.78, 0.3988, 0.5139]	1	0	0	71.445
Morte	[92.78, 0.3988, 0.5139]	0	1	223.528	224.365
Catanzaresi	[78.74, 0.2194, 0.3487]	1	1	54.128	175.261
Gioia	[92.78, 0.3988, 0.5139]	1	1	86.765	152.547
Veneziani	[78.74, 0.2194, 0.3487]	0	1	151.836	8.049
Baresi	[78.74, 0.2194, 0.3487]	1	1	95.962	5.059
Napoletani	[78.74, 0.2194, 0.3487]	1	1	88.141	146.393
Torinesi	[78.74, 0.2194, 0.3487]	0	0	0	150.167
Felicita'	[92.78, 0.3988, 0.5139]	1	0	0	71.982
Amicizia	[92.78, 0.3988, 0.5139]	1	1	103.379	140.534
Palermitani	[78.74, 0.2194, 0.3487]	1	1	86.446	118.622
Violenza	[92.78, 0.3988, 0.5139]	0	0	0	112.303
Genovesi	[78.74, 0.2194, 0.3487]	0	0	0	2.708
Guerra	[92.78, 0.3988, 0.5139]	0	1	174.918	79.307
